0.00000	1.22500	340.294
2.00000	1.22476	340.286
4.00000	1.22453	340.279
6.00000	1.22429	340.271
8.00000	1.22406	340.263
10.0000	1.22382	340.256
12.0000	1.22359	340.248
14.0000	1.22335	340.240
16.0000	1.22312	340.233
18.0000	1.22288	340.225
20.0000	1.22265	340.217
22.0000	1.22241	340.210
24.0000	1.22218	340.202
26.0000	1.22195	340.194
28.0000	1.22171	340.187
30.0000	1.22148	340.179
32.0000	1.22124	340.171
34.0000	1.22101	340.164
36.0000	1.22077	340.156
38.0000	1.22054	340.148
40.0000	1.22030	340.141
42.0000	1.22007	340.133
44.0000	1.21983	340.125
46.0000	1.21960	340.117
48.0000	1.21936	340.110
50.0000	1.21913	340.102
52.0000	1.21890	340.094
54.0000	1.21866	340.087
56.0000	1.21843	340.079
58.0000	1.21819	340.071
60.0000	1.21796	340.064
62.0000	1.21773	340.056
64.0000	1.21749	340.048
66.0000	1.21726	340.041
68.0000	1.21702	340.033
70.0000	1.21679	340.025
72.0000	1.21655	340.018
74.0000	1.21632	340.010
76.0000	1.21609	340.002
78.0000	1.21585	339.995
80.0000	1.21562	339.987
82.0000	1.21539	339.979
84.0000	1.21515	339.972
86.0000	1.21492	339.964
88.0000	1.21468	339.956
90.0000	1.21445	339.948
92.0000	1.21422	339.941
94.0000	1.21398	339.933
96.0000	1.21375	339.925
98.0000	1.21352	339.918
100.000	1.21328	339.910
102.000	1.21305	339.902
104.000	1.21282	339.895
106.000	1.21258	339.887
108.000	1.21235	339.879
110.000	1.21212	339.872
112.000	1.21188	339.864
114.000	1.21165	339.856
116.000	1.21142	339.849
118.000	1.21118	339.841
120.000	1.21095	339.833
122.000	1.21072	339.825
124.000	1.21048	339.818
126.000	1.21025	339.810
128.000	1.21002	339.802
130.000	1.20978	339.795
132.000	1.20955	339.787
134.000	1.20932	339.779
136.000	1.20909	339.772
138.000	1.20885	339.764
140.000	1.20862	339.756
142.000	1.20839	339.749
144.000	1.20815	339.741
146.000	1.20792	339.733
148.000	1.20769	339.726
150.000	1.20746	339.718
152.000	1.20722	339.710
154.000	1.20699	339.702
156.000	1.20676	339.695
158.000	1.20653	339.687
160.000	1.20629	339.679
162.000	1.20606	339.672
164.000	1.20583	339.664
166.000	1.20560	339.656
168.000	1.20536	339.649
170.000	1.20513	339.641
172.000	1.20490	339.633
174.000	1.20467	339.626
176.000	1.20444	339.618
178.000	1.20420	339.610
180.000	1.20397	339.602
182.000	1.20374	339.595
184.000	1.20351	339.587
186.000	1.20327	339.579
